"trial","dataset","model","score"
"27","moons","Linear Discriminant Analysis","0.875"
"27","moons","NN","0.9"
"27","moons","NN + L2","0.9"
"27","moons","NN + Scale Invariant","0.875"
"27","circles","Random Forest","0.625"
"27","circles","Linear Discriminant Analysis","0.5"
"27","circles","NN","0.625"
"27","circles","NN + L2","0.625"
"27","circles","NN + Scale Invariant","0.575"
"27","linear","Random Forest","0.8"
"27","linear","Linear Discriminant Analysis","0.775"
"27","linear","NN","0.775"
"27","linear","NN + L2","0.825"
"27","linear","NN + Scale Invariant","0.8"
"28","moons","Random Forest","0.875"
"28","moons","Linear Discriminant Analysis","0.9"
"28","moons","NN","0.875"
"28","moons","NN + L2","0.9"
"28","moons","NN + Scale Invariant","0.9"
"28","circles","Random Forest","0.875"
"28","circles","Linear Discriminant Analysis","0.55"
"28","circles","NN","0.85"
"28","circles","NN + L2","0.7"
"28","circles","NN + Scale Invariant","0.55"
"28","linear","Random Forest","0.8"
"28","linear","Linear Discriminant Analysis","0.85"
"28","linear","NN","0.8"
"28","linear","NN + L2","0.85"
"28","linear","NN + Scale Invariant","0.85"
"29","moons","Random Forest","0.725"
"29","moons","Linear Discriminant Analysis","0.775"
"29","moons","NN","0.75"
"29","moons","NN + L2","0.775"
"29","moons","NN + Scale Invariant","0.725"
"29","circles","Random Forest","0.9"
"29","circles","Linear Discriminant Analysis","0.525"
"29","circles","NN","0.55"
"29","circles","NN + L2","0.625"
"29","circles","NN + Scale Invariant","0.5"
"29","linear","Random Forest","0.85"
"29","linear","Linear Discriminant Analysis","0.9"
"29","linear","NN","0.875"
"29","linear","NN + L2","0.9"
"29","linear","NN + Scale Invariant","0.9"
"30","moons","Random Forest","0.9"
"30","moons","Linear Discriminant Analysis","0.875"
"30","moons","NN","0.85"
"30","moons","NN + L2","0.9"
"30","moons","NN + Scale Invariant","0.9"
"30","circles","Random Forest","0.9"
"30","circles","Linear Discriminant Analysis","0.4"
"30","circles","NN","0.45"
"30","circles","NN + L2","0.475"
"30","circles","NN + Scale Invariant","0.55"
"30","linear","Random Forest","0.95"
"30","linear","Linear Discriminant Analysis","0.975"
"30","linear","NN","0.975"
"30","linear","NN + L2","0.975"
"30","linear","NN + Scale Invariant","0.975"
"31","moons","Random Forest","0.8"
"31","moons","Linear Discriminant Analysis","0.825"
"31","moons","NN","0.8"
"31","moons","NN + L2","0.8"
"31","moons","NN + Scale Invariant","0.825"
"31","circles","Random Forest","0.925"
"31","circles","Linear Discriminant Analysis","0.475"
"31","circles","NN","0.775"
"31","circles","NN + L2","0.625"
"31","circles","NN + Scale Invariant","0.7"
"31","linear","Random Forest","0.8"
"31","linear","Linear Discriminant Analysis","0.8"
"31","linear","NN","0.775"
"31","linear","NN + L2","0.8"
"31","linear","NN + Scale Invariant","0.775"
"32","moons","Random Forest","0.775"
"32","moons","Linear Discriminant Analysis","0.75"
"32","moons","NN","0.775"
"32","moons","NN + L2","0.775"
"32","moons","NN + Scale Invariant","0.775"
"32","circles","Random Forest","0.775"
"32","circles","Linear Discriminant Analysis","0.5"
"32","circles","NN","0.625"
"32","circles","NN + L2","0.65"
"32","circles","NN + Scale Invariant","0.625"
"32","linear","Random Forest","0.725"
"32","linear","Linear Discriminant Analysis","0.875"
"32","linear","NN","0.8"
"32","linear","NN + L2","0.775"
"32","linear","NN + Scale Invariant","0.8"
"33","moons","Random Forest","0.9"
