"trial","dataset","model","score"
"17","circles","Linear Discriminant Analysis","0.2"
"17","circles","NN","0.4"
"17","circles","NN + L2","0.4"
"17","circles","NN + Scale Invariant","0.3"
"17","linear","Random Forest","0.6"
"17","linear","Linear Discriminant Analysis","0.7"
"17","linear","NN","0.7"
"17","linear","NN + L2","0.7"
"17","linear","NN + Scale Invariant","0.7"
"18","moons","Random Forest","0.9"
"18","moons","Linear Discriminant Analysis","0.9"
"18","moons","NN","1.0"
"18","moons","NN + L2","0.9"
"18","moons","NN + Scale Invariant","1.0"
"18","circles","Random Forest","0.6"
"18","circles","Linear Discriminant Analysis","0.4"
"18","circles","NN","0.8"
"18","circles","NN + L2","0.6"
"18","circles","NN + Scale Invariant","0.5"
"18","linear","Random Forest","0.8"
"18","linear","Linear Discriminant Analysis","0.9"
"18","linear","NN","0.8"
"18","linear","NN + L2","0.8"
"18","linear","NN + Scale Invariant","0.9"
"19","moons","Random Forest","0.8"
"19","moons","Linear Discriminant Analysis","0.7"
"19","moons","NN","0.7"
"19","moons","NN + L2","0.7"
"19","moons","NN + Scale Invariant","0.8"
"19","circles","Random Forest","0.6"
"19","circles","Linear Discriminant Analysis","0.2"
"19","circles","NN","0.4"
"19","circles","NN + L2","0.3"
"19","circles","NN + Scale Invariant","0.3"
"19","linear","Random Forest","0.7"
"19","linear","Linear Discriminant Analysis","1.0"
"19","linear","NN","1.0"
"19","linear","NN + L2","1.0"
"19","linear","NN + Scale Invariant","1.0"
"20","moons","Random Forest","0.5"
"20","moons","Linear Discriminant Analysis","0.7"
"20","moons","NN","0.8"
"20","moons","NN + L2","0.6"
"20","moons","NN + Scale Invariant","0.7"
"20","circles","Random Forest","0.7"
"20","circles","Linear Discriminant Analysis","0.3"
"20","circles","NN","0.4"
"20","circles","NN + L2","0.4"
"20","circles","NN + Scale Invariant","0.5"
"20","linear","Random Forest","0.9"
"20","linear","Linear Discriminant Analysis","1.0"
"20","linear","NN","1.0"
"20","linear","NN + L2","1.0"
"20","linear","NN + Scale Invariant","1.0"
"21","moons","Random Forest","0.8"
"21","moons","Linear Discriminant Analysis","0.8"
"21","moons","NN","0.9"
"21","moons","NN + L2","0.9"
"21","moons","NN + Scale Invariant","0.9"
"21","circles","Random Forest","0.4"
"21","circles","Linear Discriminant Analysis","0.3"
"21","circles","NN","0.4"
"21","circles","NN + L2","0.3"
"21","circles","NN + Scale Invariant","0.3"
"21","linear","Random Forest","0.9"
"21","linear","Linear Discriminant Analysis","0.9"
"21","linear","NN","1.0"
"21","linear","NN + L2","1.0"
"21","linear","NN + Scale Invariant","1.0"
"22","moons","Random Forest","0.8"
"22","moons","Linear Discriminant Analysis","0.7"
"22","moons","NN","0.7"
"22","moons","NN + L2","0.6"
"22","moons","NN + Scale Invariant","0.7"
"22","circles","Random Forest","0.6"
