"trial","dataset","model","score"
"98","linear","NN + Scale Invariant","0.6"
"99","moons","Random Forest","0.8"
"99","moons","Linear Discriminant Analysis","0.8"
"99","moons","NN","0.7"
"99","moons","NN + L2","0.8"
"99","moons","NN + Scale Invariant","0.8"
"99","circles","Random Forest","0.7"
"99","circles","Linear Discriminant Analysis","0.5"
"99","circles","NN","0.4"
"99","circles","NN + L2","0.7"
"99","circles","NN + Scale Invariant","0.6"
"99","linear","Random Forest","0.8"
"99","linear","Linear Discriminant Analysis","0.8"
"99","linear","NN","0.7"
"99","linear","NN + L2","0.7"
"99","linear","NN + Scale Invariant","0.7"
