"trial","dataset","model","missclassification"
"14","moons","NN + Scale Invariant","0.15"
"14","moons","NN + Offset Invariant","0.2"
"14","circles","Random Forest","0.175"
"14","circles","Linear Discriminant Analysis","0.575"
"14","circles","NN","0.45"
"14","circles","NN + L2","0.525"
"14","circles","NN + Scale Invariant","0.55"
"14","circles","NN + Offset Invariant","0.4"
"14","linear","Random Forest","0.025"
"14","linear","Linear Discriminant Analysis","0.1"
"14","linear","NN","0.05"
"14","linear","NN + L2","0.525"
"14","linear","NN + Scale Invariant","0.05"
"14","linear","NN + Offset Invariant","0.075"
"14","xor","Random Forest","0.35"
"14","xor","Linear Discriminant Analysis","0.625"
"14","xor","NN","0.25"
"14","xor","NN + L2","0.6"
"14","xor","NN + Scale Invariant","0.275"
"14","xor","NN + Offset Invariant","0.275"
"15","moons","Random Forest","0.225"
"15","moons","Linear Discriminant Analysis","0.225"
"15","moons","NN","0.225"
"15","moons","NN + L2","0.6"
"15","moons","NN + Scale Invariant","0.225"
"15","moons","NN + Offset Invariant","0.225"
"15","circles","Random Forest","0.125"
"15","circles","Linear Discriminant Analysis","0.7"
"15","circles","NN","0.525"
"15","circles","NN + L2","0.55"
"15","circles","NN + Scale Invariant","0.375"
"15","circles","NN + Offset Invariant","0.3"
"15","linear","Random Forest","0.15"
"15","linear","Linear Discriminant Analysis","0.15"
"15","linear","NN","0.125"
"15","linear","NN + L2","0.175"
"15","linear","NN + Scale Invariant","0.125"
"15","linear","NN + Offset Invariant","0.15"
"15","xor","Random Forest","0.425"
"15","xor","Linear Discriminant Analysis","0.4"
"15","xor","NN","0.375"
"15","xor","NN + L2","0.55"
"15","xor","NN + Scale Invariant","0.35"
"15","xor","NN + Offset Invariant","0.25"
"16","moons","Random Forest","0.15"
"16","moons","Linear Discriminant Analysis","0.175"
"16","moons","NN","0.175"
"16","moons","NN + L2","0.2"
"16","moons","NN + Scale Invariant","0.175"
"16","moons","NN + Offset Invariant","0.175"
"16","circles","Random Forest","0.1"
"16","circles","Linear Discriminant Analysis","0.7"
"16","circles","NN","0.45"
"16","circles","NN + L2","0.55"
"16","circles","NN + Scale Invariant","0.375"
"16","circles","NN + Offset Invariant","0.375"
"16","linear","Random Forest","0.125"
"16","linear","Linear Discriminant Analysis","0.125"
"16","linear","NN","0.125"
"16","linear","NN + L2","0.5"
"16","linear","NN + Scale Invariant","0.125"
"16","linear","NN + Offset Invariant","0.1"
"16","xor","Random Forest","0.3"
"16","xor","Linear Discriminant Analysis","0.35"
"16","xor","NN","0.125"
"16","xor","NN + L2","0.375"
"16","xor","NN + Scale Invariant","0.225"
"16","xor","NN + Offset Invariant","0.15"
"17","moons","Random Forest","0.125"
"17","moons","Linear Discriminant Analysis","0.275"
"17","moons","NN","0.25"
"17","moons","NN + L2","0.55"
"17","moons","NN + Scale Invariant","0.3"
"17","moons","NN + Offset Invariant","0.25"
"17","circles","Random Forest","0.35"
"17","circles","Linear Discriminant Analysis","0.475"
"17","circles","NN","0.35"
"17","circles","NN + L2","0.575"
"17","circles","NN + Scale Invariant","0.35"
"17","circles","NN + Offset Invariant","0.25"
"17","linear","Random Forest","0.275"
"17","linear","Linear Discriminant Analysis","0.275"
"17","linear","NN","0.275"
"17","linear","NN + L2","0.65"
"17","linear","NN + Scale Invariant","0.275"
"17","linear","NN + Offset Invariant","0.275"
"17","xor","Random Forest","0.075"
"17","xor","Linear Discriminant Analysis","0.525"
"17","xor","NN","0.125"
"17","xor","NN + L2","0.45"
"17","xor","NN + Scale Invariant","0.125"
"17","xor","NN + Offset Invariant","0.125"
"18","moons","Random Forest","0.175"
"18","moons","Linear Discriminant Analysis","0.125"
"18","moons","NN","0.15"
"18","moons","NN + L2","0.55"
"18","moons","NN + Scale Invariant","0.125"
"18","moons","NN + Offset Invariant","0.15"
