"trial","dataset","model","missclassification"
"23","xor","NN","0.35"
"23","xor","NN + L2","0.375"
"23","xor","NN + Scale","0.325"
"23","xor","NN + Offset","0.1"
"24","moons","NN","0.175"
"24","moons","NN + L2","0.15"
"24","moons","NN + Scale","0.125"
"24","moons","NN + Offset","0.15"
"24","circles","NN","0.425"
"24","circles","NN + L2","0.5"
"24","circles","NN + Scale","0.55"
"24","circles","NN + Offset","0.4"
"24","linear","NN","0.125"
"24","linear","NN + L2","0.125"
"24","linear","NN + Scale","0.075"
"24","linear","NN + Offset","0.425"
"24","xor","NN","0.15"
"24","xor","NN + L2","0.225"
"24","xor","NN + Scale","0.3"
"24","xor","NN + Offset","0.175"
"25","moons","NN","0.2"
"25","moons","NN + L2","0.175"
"25","moons","NN + Scale","0.2"
"25","moons","NN + Offset","0.175"
"25","circles","NN","0.35"
"25","circles","NN + L2","0.5"
"25","circles","NN + Scale","0.525"
"25","circles","NN + Offset","0.475"
"25","linear","NN","0.175"
"25","linear","NN + L2","0.175"
"25","linear","NN + Scale","0.125"
"25","linear","NN + Offset","0.175"
"25","xor","NN","0.225"
"25","xor","NN + L2","0.125"
"25","xor","NN + Scale","0.175"
"25","xor","NN + Offset","0.25"
"26","moons","NN","0.125"
"26","moons","NN + L2","0.125"
"26","moons","NN + Scale","0.2"
"26","moons","NN + Offset","0.175"
"26","circles","NN","0.2"
"26","circles","NN + L2","0.225"
"26","circles","NN + Scale","0.4"
"26","circles","NN + Offset","0.25"
"26","linear","NN","0.15"
"26","linear","NN + L2","0.175"
"26","linear","NN + Scale","0.175"
"26","linear","NN + Offset","0.175"
"26","xor","NN","0.35"
"26","xor","NN + L2","0.475"
"26","xor","NN + Scale","0.475"
"26","xor","NN + Offset","0.15"
"27","moons","NN","0.25"
"27","moons","NN + L2","0.3"
"27","moons","NN + Scale","0.225"
"27","moons","NN + Offset","0.25"
"27","circles","NN","0.45"
"27","circles","NN + L2","0.325"
"27","circles","NN + Scale","0.425"
"27","circles","NN + Offset","0.375"
"27","linear","NN","0.125"
"27","linear","NN + L2","0.175"
"27","linear","NN + Scale","0.275"
"27","linear","NN + Offset","0.175"
"27","xor","NN","0.275"
"27","xor","NN + L2","0.375"
"27","xor","NN + Scale","0.2"
"27","xor","NN + Offset","0.275"
"28","moons","NN","0.125"
"28","moons","NN + L2","0.175"
"28","moons","NN + Scale","0.125"
"28","moons","NN + Offset","0.125"
"28","circles","NN","0.55"
"28","circles","NN + L2","0.525"
"28","circles","NN + Scale","0.425"
"28","circles","NN + Offset","0.525"
"28","linear","NN","0.1"
"28","linear","NN + L2","0.1"
"28","linear","NN + Scale","0.05"
"28","linear","NN + Offset","0.225"
"28","xor","NN","0.1"
"28","xor","NN + L2","0.15"
"28","xor","NN + Scale","0.25"
"28","xor","NN + Offset","0.25"
"29","moons","NN","0.1"
"29","moons","NN + L2","0.1"
"29","moons","NN + Scale","0.1"
"29","moons","NN + Offset","0.075"
"29","circles","NN","0.4"
"29","circles","NN + L2","0.25"
"29","circles","NN + Scale","0.525"
"29","circles","NN + Offset","0.425"
"29","linear","NN","0.2"
"29","linear","NN + L2","0.175"
"29","linear","NN + Scale","0.2"
"29","linear","NN + Offset","0.225"
"29","xor","NN","0.25"
"29","xor","NN + L2","0.425"
"29","xor","NN + Scale","0.35"
"29","xor","NN + Offset","0.375"
"30","moons","NN","0.175"
"30","moons","NN + L2","0.175"
"30","moons","NN + Scale","0.125"
"30","moons","NN + Offset","0.175"
"30","circles","NN","0.225"
"30","circles","NN + L2","0.35"
"30","circles","NN + Scale","0.475"
"30","circles","NN + Offset","0.35"
"30","linear","NN","0.2"
"30","linear","NN + L2","0.2"
"30","linear","NN + Scale","0.225"
"30","linear","NN + Offset","0.225"
"30","xor","NN","0.25"
"30","xor","NN + L2","0.325"
"30","xor","NN + Scale","0.25"
"30","xor","NN + Offset","0.375"
"31","moons","NN","0.125"
"31","moons","NN + L2","0.175"
"31","moons","NN + Scale","0.15"
"31","moons","NN + Offset","0.15"
"31","circles","NN","0.5"
"31","circles","NN + L2","0.325"
"31","circles","NN + Scale","0.425"
"31","circles","NN + Offset","0.5"
"31","linear","NN","0.15"
"31","linear","NN + L2","0.275"
"31","linear","NN + Scale","0.225"
"31","linear","NN + Offset","0.125"
"31","xor","NN","0.25"
"31","xor","NN + L2","0.15"
"31","xor","NN + Scale","0.225"
"31","xor","NN + Offset","0.2"
"32","moons","NN","0.075"
"32","moons","NN + L2","0.1"
"32","moons","NN + Scale","0.1"
"32","moons","NN + Offset","0.125"
"32","circles","NN","0.425"
"32","circles","NN + L2","0.3"
"32","circles","NN + Scale","0.375"
"32","circles","NN + Offset","0.4"
"32","linear","NN","0.3"
"32","linear","NN + L2","0.4"
"32","linear","NN + Scale","0.4"
"32","linear","NN + Offset","0.075"
"32","xor","NN","0.275"
"32","xor","NN + L2","0.275"
"32","xor","NN + Scale","0.25"
"32","xor","NN + Offset","0.5"
"33","moons","NN","0.175"
"33","moons","NN + L2","0.15"
"33","moons","NN + Scale","0.15"
"33","moons","NN + Offset","0.2"
"33","circles","NN","0.225"
"33","circles","NN + L2","0.325"
"33","circles","NN + Scale","0.425"
"33","circles","NN + Offset","0.325"
"33","linear","NN","0.125"
"33","linear","NN + L2","0.15"
"33","linear","NN + Scale","0.2"
"33","linear","NN + Offset","0.225"
"33","xor","NN","0.2"
"33","xor","NN + L2","0.375"
"33","xor","NN + Scale","0.325"
"33","xor","NN + Offset","0.2"
"34","moons","NN","0.125"
"34","moons","NN + L2","0.125"
"34","moons","NN + Scale","0.15"
"34","moons","NN + Offset","0.2"
"34","circles","NN","0.5"
"34","circles","NN + L2","0.5"
"34","circles","NN + Scale","0.6"
"34","circles","NN + Offset","0.6"
"34","linear","NN","0.125"
"34","linear","NN + L2","0.125"
"34","linear","NN + Scale","0.125"
"34","linear","NN + Offset","0.1"
"34","xor","NN","0.1"
"34","xor","NN + L2","0.275"
"34","xor","NN + Scale","0.15"
"34","xor","NN + Offset","0.175"
"35","moons","NN","0.1"
"35","moons","NN + L2","0.15"
"35","moons","NN + Scale","0.1"
"35","moons","NN + Offset","0.1"
"35","circles","NN","0.425"
"35","circles","NN + L2","0.475"
"35","circles","NN + Scale","0.4"
"35","circles","NN + Offset","0.35"
"35","linear","NN","0.175"
"35","linear","NN + L2","0.15"
"35","linear","NN + Scale","0.15"
"35","linear","NN + Offset","0.25"
"35","xor","NN","0.2"
"35","xor","NN + L2","0.4"
"35","xor","NN + Scale","0.4"
"35","xor","NN + Offset","0.4"
"36","moons","NN","0.175"
"36","moons","NN + L2","0.275"
"36","moons","NN + Scale","0.25"
"36","moons","NN + Offset","0.25"
"36","circles","NN","0.275"
"36","circles","NN + L2","0.25"
"36","circles","NN + Scale","0.5"
"36","circles","NN + Offset","0.175"
"36","linear","NN","0.1"
"36","linear","NN + L2","0.075"
"36","linear","NN + Scale","0.125"
"36","linear","NN + Offset","0.1"
"36","xor","NN","0.2"
"36","xor","NN + L2","0.275"
"36","xor","NN + Scale","0.3"
"36","xor","NN + Offset","0.225"
"37","moons","NN","0.25"
"37","moons","NN + L2","0.275"
"37","moons","NN + Scale","0.25"
"37","moons","NN + Offset","0.275"
"37","circles","NN","0.275"
"37","circles","NN + L2","0.425"
"37","circles","NN + Scale","0.5"
"37","circles","NN + Offset","0.425"
"37","linear","NN","0.25"
"37","linear","NN + L2","0.3"
"37","linear","NN + Scale","0.25"
"37","linear","NN + Offset","0.3"
"37","xor","NN","0.275"
"37","xor","NN + L2","0.3"
"37","xor","NN + Scale","0.25"
"37","xor","NN + Offset","0.35"
"38","moons","NN","0.175"
"38","moons","NN + L2","0.2"
"38","moons","NN + Scale","0.175"
"38","moons","NN + Offset","0.175"
"38","circles","NN","0.35"
"38","circles","NN + L2","0.475"
"38","circles","NN + Scale","0.525"
"38","circles","NN + Offset","0.45"
"38","linear","NN","0.125"
"38","linear","NN + L2","0.125"
"38","linear","NN + Scale","0.175"
"38","linear","NN + Offset","0.325"
"38","xor","NN","0.25"
"38","xor","NN + L2","0.2"
"38","xor","NN + Scale","0.2"
"38","xor","NN + Offset","0.3"
"39","moons","NN","0.15"
"39","moons","NN + L2","0.125"
"39","moons","NN + Scale","0.2"
"39","moons","NN + Offset","0.125"
"39","circles","NN","0.5"
"39","circles","NN + L2","0.25"
"39","circles","NN + Scale","0.275"
"39","circles","NN + Offset","0.35"
"39","linear","NN","0.05"
"39","linear","NN + L2","0.025"
"39","linear","NN + Scale","0.025"
"39","linear","NN + Offset","0.025"
"39","xor","NN","0.225"
"39","xor","NN + L2","0.275"
"39","xor","NN + Scale","0.25"
"39","xor","NN + Offset","0.325"
"40","moons","NN","0.275"
"40","moons","NN + L2","0.225"
"40","moons","NN + Scale","0.25"
"40","moons","NN + Offset","0.225"
"40","circles","NN","0.325"
"40","circles","NN + L2","0.375"
"40","circles","NN + Scale","0.55"
"40","circles","NN + Offset","0.475"
"40","linear","NN","0.2"
"40","linear","NN + L2","0.1"
"40","linear","NN + Scale","0.1"
"40","linear","NN + Offset","0.225"
"40","xor","NN","0.175"
"40","xor","NN + L2","0.15"
"40","xor","NN + Scale","0.125"
"40","xor","NN + Offset","0.2"
"41","moons","NN","0.15"
"41","moons","NN + L2","0.175"
"41","moons","NN + Scale","0.175"
