"trial","dataset","model","missclassification"
"15","moons","NN + Offset","0.225"
"15","circles","NN","0.4"
"15","circles","NN + L2","0.425"
"15","circles","NN + Scale","0.525"
"15","circles","NN + Offset","0.375"
"15","linear","NN","0.1"
"15","linear","NN + L2","0.1"
"15","linear","NN + Scale","0.125"
"15","linear","NN + Offset","0.1"
"15","xor","NN","0.175"
"15","xor","NN + L2","0.25"
"15","xor","NN + Scale","0.15"
"15","xor","NN + Offset","0.225"
"16","moons","NN","0.225"
"16","moons","NN + L2","0.25"
"16","moons","NN + Scale","0.225"
"16","moons","NN + Offset","0.2"
"16","circles","NN","0.45"
"16","circles","NN + L2","0.325"
"16","circles","NN + Scale","0.35"
"16","circles","NN + Offset","0.6"
"16","linear","NN","0.075"
"16","linear","NN + L2","0.05"
"16","linear","NN + Scale","0.1"
"16","linear","NN + Offset","0.075"
"16","xor","NN","0.2"
"16","xor","NN + L2","0.325"
"16","xor","NN + Scale","0.225"
"16","xor","NN + Offset","0.2"
"17","moons","NN","0.25"
"17","moons","NN + L2","0.225"
"17","moons","NN + Scale","0.225"
"17","moons","NN + Offset","0.175"
"17","circles","NN","0.475"
"17","circles","NN + L2","0.35"
"17","circles","NN + Scale","0.325"
"17","circles","NN + Offset","0.375"
"17","linear","NN","0.125"
"17","linear","NN + L2","0.125"
"17","linear","NN + Scale","0.125"
"17","linear","NN + Offset","0.1"
"17","xor","NN","0.45"
"17","xor","NN + L2","0.3"
"17","xor","NN + Scale","0.275"
"17","xor","NN + Offset","0.325"
"18","moons","NN","0.175"
"18","moons","NN + L2","0.1"
"18","moons","NN + Scale","0.1"
"18","moons","NN + Offset","0.125"
"18","circles","NN","0.35"
"18","circles","NN + L2","0.475"
"18","circles","NN + Scale","0.3"
"18","circles","NN + Offset","0.4"
"18","linear","NN","0.175"
"18","linear","NN + L2","0.125"
"18","linear","NN + Scale","0.125"
"18","linear","NN + Offset","0.125"
"18","xor","NN","0.275"
"18","xor","NN + L2","0.175"
"18","xor","NN + Scale","0.225"
"18","xor","NN + Offset","0.225"
"19","moons","NN","0.075"
"19","moons","NN + L2","0.125"
"19","moons","NN + Scale","0.125"
"19","moons","NN + Offset","0.1"
"19","circles","NN","0.475"
"19","circles","NN + L2","0.425"
"19","circles","NN + Scale","0.425"
"19","circles","NN + Offset","0.475"
"19","linear","NN","0.025"
"19","linear","NN + L2","0.025"
"19","linear","NN + Scale","0.025"
"19","linear","NN + Offset","0.025"
"19","xor","NN","0.375"
"19","xor","NN + L2","0.325"
"19","xor","NN + Scale","0.375"
"19","xor","NN + Offset","0.275"
"20","moons","NN","0.1"
"20","moons","NN + L2","0.125"
"20","moons","NN + Scale","0.175"
"20","moons","NN + Offset","0.1"
"20","circles","NN","0.325"
"20","circles","NN + L2","0.25"
"20","circles","NN + Scale","0.35"
"20","circles","NN + Offset","0.225"
"20","linear","NN","0.15"
"20","linear","NN + L2","0.15"
"20","linear","NN + Scale","0.125"
"20","linear","NN + Offset","0.15"
"20","xor","NN","0.2"
"20","xor","NN + L2","0.225"
"20","xor","NN + Scale","0.225"
"20","xor","NN + Offset","0.2"
"21","moons","NN","0.225"
"21","moons","NN + L2","0.2"
"21","moons","NN + Scale","0.225"
"21","moons","NN + Offset","0.225"
"21","circles","NN","0.625"
"21","circles","NN + L2","0.65"
"21","circles","NN + Scale","0.7"
"21","circles","NN + Offset","0.525"
"21","linear","NN","0.075"
"21","linear","NN + L2","0.075"
"21","linear","NN + Scale","0.075"
"21","linear","NN + Offset","0.075"
"21","xor","NN","0.15"
"21","xor","NN + L2","0.175"
"21","xor","NN + Scale","0.15"
"21","xor","NN + Offset","0.2"
"22","moons","NN","0.15"
"22","moons","NN + L2","0.175"
"22","moons","NN + Scale","0.15"
"22","moons","NN + Offset","0.15"
"22","circles","NN","0.325"
"22","circles","NN + L2","0.375"
"22","circles","NN + Scale","0.475"
"22","circles","NN + Offset","0.45"
"22","linear","NN","0.05"
"22","linear","NN + L2","0.075"
"22","linear","NN + Scale","0.05"
"22","linear","NN + Offset","0.1"
"22","xor","NN","0.175"
"22","xor","NN + L2","0.25"
"22","xor","NN + Scale","0.25"
"22","xor","NN + Offset","0.225"
"23","moons","NN","0.25"
"23","moons","NN + L2","0.25"
"23","moons","NN + Scale","0.225"
"23","moons","NN + Offset","0.25"
"23","circles","NN","0.4"
"23","circles","NN + L2","0.525"
"23","circles","NN + Scale","0.525"
"23","circles","NN + Offset","0.525"
"23","linear","NN","0.1"
"23","linear","NN + L2","0.075"
"23","linear","NN + Scale","0.075"
"23","linear","NN + Offset","0.1"
"23","xor","NN","0.325"
"23","xor","NN + L2","0.225"
"23","xor","NN + Scale","0.25"
"23","xor","NN + Offset","0.25"
"24","moons","NN","0.175"
"24","moons","NN + L2","0.225"
"24","moons","NN + Scale","0.175"
"24","moons","NN + Offset","0.175"
"24","circles","NN","0.225"
"24","circles","NN + L2","0.275"
"24","circles","NN + Scale","0.375"
"24","circles","NN + Offset","0.275"
"24","linear","NN","0.175"
"24","linear","NN + L2","0.225"
"24","linear","NN + Scale","0.175"
"24","linear","NN + Offset","0.225"
"24","xor","NN","0.225"
